country,iso3,region,source_type,year,prophet_forecast_mw_x,lr_forecast_mw,prophet_forecast_mw_y,sarima_forecast_mw,xgb_forecast_mw,lgbm_forecast_mw,hybrid_forecast_mw,ensemble_forecast_mw,recommended_forecast_mw,best_model
Japan,JPN,Asia,Wind,2029,6486.927400467078,6439.789009009009,6486.927400467078,5858.04,9498.19936279297,8984.622836983603,6564.511850521613,8230.582885796008,8230.582885796008,"Ensemble(LR, Prophet, SARIMA, XGB, LGBM, Hybrid)"
Mexico,MEX,Americas,Biomass,2025,1433.8576550632038,1232.6005945945944,1433.8576550632038,889.88,910.7027214813232,949.568415421498,1488.1212893805,949.0643208022829,949.0643208022829,"Ensemble(LR, Prophet, SARIMA, XGB, LGBM, Hybrid)"
Mexico,MEX,Americas,Biomass,2026,1529.7024897956248,1299.2380472972973,1529.7024897956248,889.88,1090.1649864959718,1698.3473422405555,1583.966124112921,1152.4929663339833,1152.4929663339833,"Ensemble(LR, Prophet, SARIMA, XGB, LGBM, Hybrid)"
Mexico,MEX,Americas,Biomass,2027,1628.392098065606,1367.6966486486485,1628.392098065606,889.88,1383.0088890838624,1904.5671834456307,1682.6557323829022,1414.7754910267802,1414.7754910267802,"Ensemble(LR, Prophet, SARIMA, XGB, LGBM, Hybrid)"
Mexico,MEX,Americas,Biomass,2028,1729.5617581941035,1437.9763986486485,1729.5617581941035,889.88,1657.8165673065187,2108.361809684435,1783.8253925113997,1662.2362753741802,1662.2362753741802,"Ensemble(LR, Prophet, SARIMA, XGB, LGBM, Hybrid)"
Mexico,MEX,Americas,Biomass,2029,1833.0892182012967,1510.0772972972973,1833.0892182012967,889.88,1927.8216027069093,2349.404908637135,1887.352852518593,1908.3312404168378,1908.3312404168378,"Ensemble(LR, Prophet, SARIMA, XGB, LGBM, Hybrid)"
Mexico,MEX,Americas,Hydro,2025,14175.031251675375,14581.81818018018,14175.031251675375,13537.111267757564,12973.925786743164,12850.414644376475,14017.348981097648,13283.985516427963,13283.985516427963,"Ensemble(LR, Prophet, SARIMA, XGB, LGBM, Hybrid)"
Mexico,MEX,Americas,Hydro,2026,14356.606825457706,14848.689006756758,14356.606825457706,13599.77802928859,13484.057561645508,13596.956660188953,14198.924554879979,13643.96712222685,13643.96712222685,"Ensemble(LR, Prophet, SARIMA, XGB, LGBM, Hybrid)"
Mexico,MEX,Americas,Hydro,2027,14537.685118922911,15120.103489489491,14537.685118922911,13658.925529807508,13727.395940551758,14130.785975374896,14380.002848345184,13837.424275308858,13837.424275308858,"Ensemble(LR, Prophet, SARIMA, XGB, LGBM, Hybrid)"
Mexico,MEX,Americas,Hydro,2028,14718.197479950015,15396.061628378378,14718.197479950015,13714.736311804154,13922.597036132813,14419.28402424959,14560.515209372288,14000.411976697082,14000.411976697082,"Ensemble(LR, Prophet, SARIMA, XGB, LGBM, Hybrid)"
Mexico,MEX,Americas,Hydro,2029,14898.568013328066,15676.563423423424,14898.568013328066,13767.385232765333,14466.837697753906,14759.97520297161,14740.885742750339,14380.022017808124,14380.022017808124,"Ensemble(LR, Prophet, SARIMA, XGB, LGBM, Hybrid)"
Mexico,MEX,Americas,Solar,2025,30747.03641124882,14457.367513513516,30747.03641124882,38926159.732625544,13105.623530273437,12444.88390378324,31657.139579428884,12444.883905971996,12444.883905971996,"Ensemble(LR, Prophet, SARIMA, XGB, LGBM, Hybrid)"
Mexico,MEX,Americas,Solar,2026,31039.238103929107,16110.252256756761,31039.238103929107,367158101.33051306,13792.84905517578,12839.62981939767,31949.34127210917,12839.629821731258,12839.629821731258,"Ensemble(LR, Prophet, SARIMA, XGB, LGBM, Hybrid)"
Mexico,MEX,Americas,Solar,2027,31157.052786985623,17844.423711711715,31157.052786985623,4736777352.893048,14959.63177001953,13565.480178764365,32067.155955165686,13565.48018118209,13565.48018118209,"Ensemble(LR, Prophet, SARIMA, XGB, LGBM, Hybrid)"
Mexico,MEX,Americas,Solar,2028,31204.179235751835,19659.881878378383,31204.179235751835,87320067996.50867,15884.384821777343,14090.104485376103,32114.2824039319,14090.104487915198,14090.104487915198,"Ensemble(LR, Prophet, SARIMA, XGB, LGBM, Hybrid)"
Mexico,MEX,Americas,Solar,2029,31223.001405386793,21556.626756756763,31223.001405386793,2417567518281.418,16708.985651855466,14479.132710890306,32133.104573566856,14479.132713586736,14479.132713586736,"Ensemble(LR, Prophet, SARIMA, XGB, LGBM, Hybrid)"
Mexico,MEX,Americas,Wind,2025,13425.08305503995,12967.889747747751,13425.08305503995,26482.84929209626,7778.559263916016,7932.738871454461,13111.505134541836,10378.137601734423,10378.137601734423,"Ensemble(LR, Prophet, SARIMA, XGB, LGBM, Hybrid)"
Mexico,MEX,Americas,Wind,2026,14456.480126775281,14239.540790540545,14456.480126775281,32891.39524159823,8543.204954833986,9077.723932279212,14142.902206277167,12097.71384119378,12097.71384119378,"Ensemble(LR, Prophet, SARIMA, XGB, LGBM, Hybrid)"
